sentid	sentence
459	the night you teach
460	I the Force seek
461	the Force the Force teach
462	fight you do
463	sleep the rain do
464	the Jedi the Force follow
465	the darkness I follow
466	in the forest sleep the Force do
467	the Force in the Force in the darkness the Force follow
468	in the darkness in the path fight we do
469	the Force the Jedi follow
470	the Jedi the forest seek
471	the Jedi in the light the light teach
472	sleep the darkness do
473	sleep the forest do
474	they the darkness through the Jedi teach
475	the forest in the forest the path teach
476	the Jedi in the Jedi the Force seek
477	the light the Jedi teach
478	fight the light do
479	in the rain sleep you do
480	the night in the Force they in the forest seek
481	sleep the Jedi do
482	sleep the darkness do
483	fight the darkness do
484	you in you the darkness teach
485	fight you do
486	we the forest in I teach
487	fight the light do
488	fight the Jedi in you do
489	fight the Force do
490	fight the darkness do
491	fight the darkness do
492	the Jedi in the Jedi the Force teach
493	we the forest teach
494	fight we do
495	sleep I do
496	in the path fight the Jedi in the forest do
497	the path in the forest the Jedi teach
498	fight the darkness do
499	sleep the rain do
500	through the Jedi fight the path through the path do
501	sleep the forest do
502	fight you do
503	fight the Jedi in we do
504	the Jedi the night follow
505	the Force the darkness through the darkness seek
506	the night the Force seek
507	sleep the rain do
508	in the path in the light fight the Force do
509	the darkness the Jedi in the forest follow
510	sleep the rain do
511	the Force the Force follow
512	through the Jedi in the light sleep the darkness do
513	the darkness the Force follow
514	sleep the path do
515	sleep you do
516	sleep the Jedi do
517	the darkness they teach
518	the Force in they the Force teach
519	the Jedi the night teach
520	the Force I follow
521	fight the night do
522	we the darkness teach
523	sleep the path do
524	the night the forest seek
525	fight the Force do
526	the light in the path we in they teach
527	the rain they seek
528	they the Jedi teach
529	the forest the rain teach
530	the Jedi the night seek
531	the Force the Jedi follow
532	I in they the light seek
533	the Jedi the path seek
534	the Jedi the darkness teach
535	fight the light do
536	the forest in the Jedi through the forest the Force follow
537	fight you do
538	fight the Jedi do
539	sleep the Force do
540	fight they do
541	fight the Force do
542	the light we follow
543	sleep the light do
544	sleep I in the Jedi do
545	the night the path follow
546	fight I do
547	sleep the path do
548	fight the rain do
549	the darkness in they the darkness teach
550	sleep they do
551	sleep they do
552	I in the Force the Force follow
553	fight the forest do
554	the path in the Force the rain teach
555	the path the rain seek
556	in the darkness through the night sleep I do
557	sleep the forest do
558	the Jedi the Jedi teach
559	in the forest fight the rain do
560	the Force in we in the darkness the light seek
561	the forest the path seek
562	fight we do
563	fight the night do
564	the path in the path the rain in the rain seek
565	fight the path do
566	in the rain fight I do
567	in you fight the rain do
568	the rain the Jedi teach
569	the Jedi through the light the path teach
570	in the light sleep the night do
571	we in the light the Force follow
572	sleep the forest do
573	sleep we do
574	the Force I follow
575	fight I in the night do
576	the darkness they in the Force follow
577	fight the night do
578	sleep the forest do
579	the Force the Jedi seek
580	the Jedi the Jedi in the light seek
581	fight the rain do
582	we the Jedi follow
583	sleep the Jedi do
584	fight the night do
585	the Force they seek
586	fight the Force do
587	fight the night do
588	sleep we do
589	fight the path do
590	in the path in the night fight the path do
591	fight the Jedi do
592	sleep the Jedi do
593	sleep the light do
594	sleep the Jedi in the Jedi do
595	fight the darkness do
596	the path in the Force the Force teach
597	they we teach
598	fight the path do
599	fight we do
600	the forest we teach
601	the forest in the path in the Force I follow
602	fight the light do
603	the forest through the night through the rain through the Jedi the light teach
604	the night the Force seek
605	sleep the light do
606	through the path fight the light do
607	the Jedi the light follow
608	the light the Force seek
609	fight the rain do
610	in the forest fight the night do
611	fight the night do
612	fight they do
613	in the light fight the night in you do
614	the rain the night in the Force follow
615	fight the path through the rain do
616	sleep the light do
617	fight the rain do
618	sleep the night do
619	they the rain teach
620	the light the light teach
621	in the path fight the forest do
622	fight the darkness do
623	sleep the rain do
624	sleep the darkness do
625	I the Force teach
626	we the light in the Jedi follow
627	the Jedi the light teach
628	I the night follow
629	the Force the darkness teach
630	the Force the Force teach
631	fight the rain do
632	the rain the Force seek
633	the Force the light teach
634	fight the Jedi do
635	in the Jedi sleep we do
636	fight they do
637	the Force in the Jedi in the Force you seek
638	sleep the path do
639	sleep the light do
640	we the Force follow
641	fight the forest do
642	the Force through the night the rain follow
643	the light the forest follow
644	sleep the darkness do
645	fight the Force do
646	the night the path teach
647	we the night follow
648	I in the path the Jedi teach
649	the forest you seek
650	the Jedi the path seek
651	the night the rain seek
652	in the light sleep the Jedi do
653	sleep the forest do
654	the darkness the Jedi seek
655	the light they teach
656	the Jedi you follow
657	sleep the Jedi through the darkness do
658	the Jedi the light seek
659	sleep they do
660	the rain I follow
661	sleep they do
662	in the path through the light sleep the Force do
663	the light I in the night teach
664	the Jedi through the Force in the Jedi the Jedi through the Force follow
665	fight they do
666	the Jedi the forest follow
667	sleep the path in the night do
668	the light in we in the night the Force seek
669	the light they seek
670	you through the Force the Jedi follow
671	fight the path in the Jedi do
672	fight the path do
673	sleep the Jedi do
674	the forest in I in the path we through the Jedi seek
675	the Jedi the darkness follow
676	the rain the forest seek
677	they through the Force we seek
678	the Force the Force in the Jedi in the Force teach
679	sleep the rain do
680	sleep they do
681	the Jedi the light teach
682	the forest in the night in the night they teach
683	the path in you the Force teach
684	sleep the forest do
685	the forest the Force teach
686	the night the path seek
687	the Force the Jedi in the path teach
688	fight the darkness do
689	the Force the Force follow
690	in I in the Force sleep the night do
691	in the Force fight I do
692	in the Jedi in the night in we sleep the forest in the path do
693	fight the Jedi do
694	sleep the Force do
695	the light the Force seek
696	we the night seek
697	the Force the Force seek
698	sleep we do
699	the night the darkness teach
700	fight the night do
701	you the rain in the light seek
702	sleep the rain do
703	the night in they the path seek
704	sleep the darkness do
705	sleep the path do
706	fight the rain do
707	the night the forest follow
708	sleep the rain do
709	sleep we do
710	sleep the darkness in I do
711	fight the forest do
712	the Force in the Jedi the night teach
713	fight the forest do
714	the path the rain teach
715	the night you seek
716	the Force the path seek
717	in the light through they fight the darkness do
718	in the forest fight the Jedi do
719	the light in we in the Jedi the Force seek
720	fight we do
721	fight the Jedi in we in the rain do
722	sleep they do
723	we the Jedi teach
724	sleep the Jedi do
725	sleep the forest through they do
726	sleep I in the light do
727	sleep I through the rain do
728	the Force the Jedi follow
729	they the Force follow
730	they the light seek
731	the Jedi the Jedi teach
732	fight the rain in the path do
733	we the path seek
734	the Jedi the darkness seek
735	the Force in the Jedi we seek
736	you I teach
737	sleep the night in the Force in the rain do
738	I the darkness follow
739	sleep I do
740	sleep you do
741	fight the path do
742	fight the Force do
743	through you sleep you do
744	in I fight the Jedi do
745	fight the path do
746	the night the night follow
747	the rain through the night the darkness teach
748	we the rain follow
749	in the Force fight the night do
750	sleep they do
751	the Jedi they teach
752	through you sleep the forest in we do
753	fight the path in the Jedi do
754	fight the Force do
755	fight the night do
756	the path we seek
757	the night in the rain the forest teach
758	fight the path through the forest in the light do
759	the darkness in you in the Jedi in we the path follow
760	fight the rain do
761	fight the light do
762	we in we the Force follow
763	fight the light through you do
764	the Force we seek
765	the night the Jedi through the Jedi seek
766	the night I seek
767	sleep the night do
768	I the rain seek
769	I in the path the path follow
770	in the light sleep the Jedi do
771	sleep the Jedi do
772	the Jedi the Jedi in the Force teach
773	I the Jedi follow
774	fight I do
775	sleep they do
776	sleep the light do
777	the forest they seek
778	fight the light do
779	fight the rain do
780	I the light seek
781	the rain in the Jedi the light follow
782	in the night fight the light do
783	the rain the Force teach
784	sleep you do
785	fight the darkness do
786	the night the darkness teach
787	the night in they the night in the forest follow
788	fight the darkness do
789	you the Jedi follow
790	fight the forest in the Jedi do
791	they the path teach
792	I the path follow
793	sleep the Jedi do
794	sleep the Force do
795	in the path sleep the path do
796	in the forest sleep the darkness in the Jedi do
797	the path the Force teach
798	the night through the rain in the forest I seek
799	the Force the Jedi in the forest seek
800	we through the rain the path in the darkness teach
801	the night the path seek
802	the darkness I through the Jedi follow
803	fight the Force do
804	the darkness through the Force the darkness follow
805	fight the night do
806	the rain in the forest the Force teach
807	in the path sleep the Force do
808	the Force in the forest the Jedi seek
809	the forest the rain seek
810	sleep the light do
811	I in the forest the forest seek
812	fight the path do
813	the light the light follow
814	the forest in the Jedi the light seek
815	the Force the light follow
816	in the Force fight I do
817	sleep I do
818	fight the Jedi in the night do
819	the night the night teach
820	the Force the path teach
821	fight the Jedi do
822	fight the path do
823	fight the rain do
824	the Force the night follow
825	the rain the forest teach
826	fight the Jedi do
827	fight the path do
828	sleep the Force do
829	the Force the Force in the Jedi follow
830	the Jedi through the path the Force teach
831	in the night fight they do
832	sleep we do
833	fight we do
834	in the rain in the forest in the night through the rain fight we in we do
835	fight the night do
836	the light in you in the Force in the light the rain in they teach
837	fight we do
838	the darkness the path seek
839	the darkness the night follow
840	the rain I follow
841	they the rain seek
842	I the Jedi in the path seek
843	the Force in you in the Jedi the night seek
844	the night the Jedi seek
845	fight the light do
846	the forest in the Force the light in we seek
847	the Jedi I teach
848	sleep I do
849	the forest I follow
850	fight the darkness do
851	fight I do
852	in the Jedi fight you do
853	the Jedi the rain seek
854	the Jedi we teach
855	the Force the darkness teach
856	the Force the Jedi follow
857	fight the path through the Jedi in the rain in the Jedi in you do
858	fight the Jedi do
859	through we sleep the path do
860	fight the night do
861	we the Force teach
862	sleep the Jedi do
863	sleep the night do
864	sleep I do
865	they the Jedi in they in you seek
866	the light the Jedi teach
867	the light the Force seek
868	the Force the Jedi follow
869	the Force the path in the rain follow
870	in the darkness through the path fight the Force do
871	sleep the Force in the path do
872	the Jedi through the light the Jedi follow
873	we the rain follow
874	fight the night do
875	sleep the light do
876	fight we do
877	the Force the Jedi follow
878	sleep the forest do
879	sleep the rain do
880	fight the Jedi do
881	sleep the forest do
882	I the darkness seek
883	through they sleep the night do
884	the Force the forest through the Jedi follow
885	sleep the light do
886	the light the rain seek
887	the rain the light teach
888	sleep the Jedi do
889	the Jedi through the Force the light follow
890	I the Force seek
891	fight the night do
892	the light we follow
893	they I seek
894	they the light teach
895	in the path fight the Jedi do
896	the night in the Force in the Jedi we seek
897	the night you follow
898	the night the Jedi teach
899	the rain through they the path follow
900	fight the path do
901	sleep the rain do
902	in the light in the Jedi fight the path do
903	fight the light do
904	I the Force teach
905	in the Jedi through the Force fight the forest do
906	in the darkness fight the Jedi do
907	you through the path the path seek
908	the path in the Jedi the Jedi seek
909	the darkness the rain seek
910	I through the Jedi the forest follow
911	fight they do
912	the Jedi in the light through the rain in they the rain teach
913	in the light fight they do
914	the night in the Jedi in the Jedi you seek
915	they in the night the rain teach
916	the forest the Force teach
917	sleep the rain do
918	sleep the Force do
919	we you seek
920	I in the path in the light the darkness follow
921	the forest through the Force the night follow
922	the Jedi in the rain in the rain through the night in the night in the forest they follow
923	fight the rain do
924	fight the darkness do
925	the forest the Jedi teach
926	in the Force fight the Force do
927	the Force the Force teach
928	sleep the darkness do
929	the darkness the forest seek
930	the Jedi the night teach
931	fight we do
932	the light in the Force they seek
933	the path the night seek
934	fight the Jedi do
935	fight the Jedi do
936	the darkness we seek
937	they in you we teach
938	the path in the night in the Force the night follow
939	the Force the rain seek
940	sleep the Jedi do
941	fight we do
942	the Force in the rain in they the rain in the light teach
943	the forest the night seek
944	fight the Jedi do
945	fight the Force do
946	in the darkness sleep the Force do
947	sleep the Force do
948	sleep I do
949	fight the forest do
950	sleep the rain do
951	fight the path do
952	the darkness in the Jedi in the Jedi they seek
953	sleep I do
954	the Force you teach
955	the night the night follow
956	sleep the darkness in the rain do
957	the Force the path seek
958	sleep the darkness do
959	the forest the Jedi follow
960	the Force in the light the path teach
961	sleep I do
962	fight the Jedi do
963	the rain the Jedi seek
964	the Jedi the light seek
965	I the Jedi seek
966	the rain through the forest the night seek
967	fight the Force through the Jedi do
968	sleep the path do
969	sleep the path do
970	fight the light do
971	sleep we do
972	the Force the forest seek
973	the forest in the path the Force follow
974	fight the Jedi do
975	fight the rain do
976	the Force in we in the path in the path the Jedi seek
977	sleep you do
978	in the Jedi in the night in the darkness through the darkness sleep you do
979	they the night seek
980	fight they in the Jedi do
981	the night in the Force the rain in the rain teach
982	fight we do
983	sleep I do
984	they the light teach
985	I the Jedi seek
986	fight the Jedi do
987	fight the Force do
988	in the light fight the Force do
989	you they seek
990	sleep the night do
991	fight the darkness do
992	the rain the Force teach
993	the Force you seek
994	the Force the Force follow
995	they the Jedi follow
996	sleep the night do
997	fight the Force do
998	fight you do
999	in the Force in the Force sleep the path do
